0,1,2,3,4
In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints
"Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date"
0.0,SN2014ao,Ia,'2014-04-17,
0.0,PTF09dlc,Ia,,
0.0,SN2014dt,Ia-02cx,'2014-10-29,
0.0,SN2010U,LBV,'2010-02-05,
0.0,SN2010S,Ic,'2010-01-16,x
0.0,SN2010O,Ib,'2010-01-24,
0.0,ASASSN-14kd,Ia-91T,,
0.0,PTF10qaf,SLSN-II,,
0.0,PTF09atu,SLSN-I,,
0.0,SN2014eg,Ia-91T,'2014-11-16,
0.0,SN2009mk,IIb,'2009-12-15,
0.0,SN2010bt,IIn,'2010-04-17,
0.0,SN2009mi,Ic,'2009-12-12,x
0.0,SN2009mg,IIb,'2009-12-07,
0.0,SN2009lm,IIP,'2009-11-17,
0.0,SN2009ll,IIP,'2009-11-12,
0.0,ASASSN-15uw,Ia,,
0.0,SN2009jr,Ia,'2009-10-08,
0.0,SN2009jh,SLSN-I,'2009-08-02,
0.0,SN2009jb,Ia,'2009-09-17,
0.0,SN2014gd,Ia,'2014-11-05 19:46:53.000,
0.0,SN2010cn,Ib,'2010-05-04,update type
0.0,SN2016eja,Ia,'2016-07-26 10:04:48.000,
0.0,SN2014ba,Ia-91bg,'2014-05-07,
0.0,SN2011am,Ib,'2011-02-27,
0.0,SN2016eii,Ia,'2016-07-23 22:09:07.000,
0.0,SN2011M,Ia,'2011-01-19,
0.0,LSQ11ot,Ia,,
0.0,SN2016aix,Ia-91T,'2016-02-16 00:57:36.000,
0.0,SN2010ko,Ia,'2010-12-05,
0.0,SN2010kg,Ia,'2010-11-29,
0.0,SN2016aj,SLSN-I,'2016-01-11 15:00:26.000,
0.0,SN2010jn,Ia ,'2010-10-12,
0.0,CSS140914,Ia,,
0.0,SN2014cd,Ia,'2014-08-09,
0.0,SN2010hh,Ia,'2010-09-01,
0.0,SN2010gp,Ia,'2010-07-14,
0.0,SN2010fy,Ia,'2010-07-07,
0.0,SN2016F,Ia,'2016-01-09 06:43:12.000,
0.0,SN2010el,Ia-p,'2010-06-19,
0.0,SN2010dv,?,'2010-06-04,
0.0,SN2014ek,Ia-02cx,'2014-10-18 13:12:00.000,
0.0,SN2011hb,Ia,'2011-10-24,
,,,,
,SN2020adow, Ic,'2020-12-26 09:50:24.000,
,SN2020acma, Ia,'2020-12-12 14:12:28.800,
,SN2020acct, IIn,'2020-12-10 10:09:07.200,
,SN2020acat, IIb,'2020-12-09 15:07:12.000,
,SN2020able, Ic,'2020-12-02 12:46:04.800,
,SN2020abtf, II,'2020-12-02 10:37:55.200,
,SN2020aboh,,'2020-12-04 10:37:55.200,
,SN2020abjq, II,'2020-12-02 09:02:52.800,
,SN2020aatc, Ia,'2020-11-23 06:10:46.998,
,SN2020zpi, Ia,'2020-11-12 07:35:24.000,
,SN2020znr,SL-I,'2020-11-12 09:27:06.048,
,SN2020zgl, Ib-pec,'2020-11-11 04:09:01.999,
,SN2020zbf,SL-I,'2020-11-08 10:06:14.400,
,SN2020zso,TDE,'2020-11-12 03:36:05.003,
,SN2020zoq, II,'2020-11-14 13:27:50.400,
,SN2020znr,SL-I,'2020-11-12 09:27:06.048,
,SN2020zgl, Ib-pec,'2020-11-11 04:09:01.999,
,SN2020yzo, II,'2020-11-06 08:23:59.000,
,SN2020uew,SL-I,'2020-09-23 11:42:43.200,
,SN2020yvu, Ia,'2020-11-04 08:49:55.200,
,SN2020xys,Other,'2020-10-17 11:31:45.696,
,SN2020wtq, Ia,'2020-10-12 06:21:36.000,
,SN2020xyw, Ia,'2020-10-22 16:41:01.824,
,SN2020xua, II,'2020-10-21 08:03:50.400,
,SN2020pvb, IIn,'2020-07-18 10:06:14.400,
